num,Code,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
295,G,0.2,3,4,3,0,8,5,11.59445861,12.42768351,168.4899196,88.40554139,1.486495163,0.024212965,33.01946492,0.173343554,42.32079576,21.0603003,43.2108006
296,G,0.3,3,4,3,0,8,5,17.45558548,12.43493735,113.2037725,82.54441452,2.461405375,0.02386268,53.8129186,0.129096985,72.09658521,34.79184524,70.76693696
297,G,0.4,3,4,3,0,8,5,23.33482546,12.60742814,85.48009676,76.66517454,3.523076821,0.023686745,76.40406989,0.16702497,105.7341431,49.98551471,100.5419308
298,G,0.2,4,4,3,0,8,5,10.6615106,11.24655805,167.8638495,89.3384894,0.916493112,0.030214966,25.85882167,0.146043867,33.32393706,16.51739285,34.58294163
299,G,0.3,4,4,3,0,8,5,15.95958393,11.18356318,112.8818753,84.04041607,1.563607388,0.029075585,42.33558476,0.146048516,57.95549419,27.54446265,56.76912136
300,G,0.4,4,4,3,0,8,5,21.29403126,11.52592863,85.57809232,78.70596874,2.289718546,0.028561186,60.81764097,0.186685592,85.21298979,39.79676945,81.00371474
301,G,0.2,3,3,4,0,8,5,11.67923861,12.11510726,167.3813564,88.32076139,2.515644695,0.022773134,52.2578243,0.098657951,64.69872568,28.69046961,55.71813647
302,G,0.3,3,3,4,0,8,5,17.51898766,12.22359904,112.3106643,82.48101234,4.046778836,0.022684541,83.70576182,0.120162278,105.2194741,44.9639445,84.55407897
303,G,0.4,3,3,4,0,8,5,23.38615882,12.43697165,84.80968361,76.61384118,5.678543031,0.022669755,117.3740932,0.131552011,149.0037314,63.61352954,122.6334512
304,G,0.2,4,3,4,0,8,5,10.68737362,11.35744141,166.9295182,89.31262638,1.691131652,0.026189958,40.90840304,0.072500631,50.36713733,22.49761143,45.06606713
305,G,0.3,4,3,4,0,8,5,16.00794308,11.4068746,112.6978888,83.99205692,2.734954357,0.026033589,65.73076861,0.111933678,84.17017489,37.03924512,71.76646567
306,G,0.4,4,3,4,0,8,5,21.39180656,11.48972273,85.18814405,78.60819344,3.846886368,0.025951274,92.13782866,0.146262884,120.1869859,52.15308548,103.658026
307,G,0.2,3,4,4,0,8,5,10.61257769,11.25022709,168.4384664,89.38742231,1.512690508,0.027216408,38.14462046,0.199367806,49.53159026,22.69514376,46.77910239
308,G,0.3,3,4,4,0,8,5,15.97218432,11.35335151,113.2466655,84.02781568,2.50611941,0.026201552,60.65197816,0.128254339,80.58960166,36.81243567,76.51797164
309,G,0.4,3,4,4,0,8,5,21.29972466,11.48489458,85.99157889,78.70027534,3.557425478,0.025817725,84.72978079,0.158729672,115.6985014,50.83922026,104.0791716
310,G,0.2,4,4,4,0,8,5,9.76264256,10.02011366,164.4604058,90.23735744,1.148936063,0.027542992,29.34726424,0.078886151,38.32175656,17.7439611,35.59712983
311,G,0.3,4,4,4,0,8,5,14.61818921,10.15994478,110.8662459,85.38181079,1.91961595,0.026631113,47.28227819,0.122142822,64.31861375,29.65670205,60.36932346
312,G,0.4,4,4,4,0,8,5,19.4716493,10.211849,83.89575675,80.5283507,2.758632011,0.026337342,67.13777037,0.137416929,92.36048485,40.81506274,86.37522446
313,G,0.2,3,3,3,30,8,5,12.82349254,13.22747546,165.0961852,87.17650746,1.760268961,0.029223486,47.92065797,0.141448915,62.87093401,28.82378189,55.8949384
314,G,0.3,3,3,3,30,8,5,19.23237392,13.40224302,111.5746842,80.76762608,2.871569349,0.029034461,77.63133026,0.161829799,105.1349029,46.518329,90.43798045
315,G,0.4,3,3,3,30,8,5,25.75159531,13.73545378,83.76594162,74.24840469,4.077219643,0.029013042,110.1381036,0.18349728,152.3952388,65.78069283,127.4251343
316,G,0.2,4,3,3,30,8,5,11.68482486,12.30420595,167.7384585,88.31517514,1.385753274,0.027132116,34.82691203,0.111997947,48.62112063,23.08953097,46.61152483
317,G,0.3,4,3,3,30,8,5,17.52738289,12.48344489,112.6359867,82.47261711,2.284236362,0.027036099,57.18836751,0.142538518,82.18081598,38.66306327,77.75846215
318,G,0.4,4,3,3,30,8,5,23.40127715,12.66221611,85.21243866,76.59872285,3.269561789,0.027202539,82.40125729,0.198535502,120.4683306,55.70521396,111.9138225
319,G,0.2,3,4,3,30,8,5,11.6882069,12.26590125,167.6674547,88.3117931,1.52662677,0.027814589,39.4092422,0.095531166,52.80877753,23.37654406,46.13327769
320,G,0.3,3,4,3,30,8,5,17.56104633,12.55605221,112.3134467,82.43895367,2.494860695,0.027958716,64.76338094,0.100625373,87.56210781,40.00020226,78.63172949
321,G,0.4,3,4,3,30,8,5,23.44737975,12.58776571,84.69875126,76.55262025,3.561414122,0.027894271,92.22022391,0.156664923,125.6994905,56.4219694,110.8747148
322,G,0.2,4,4,3,30,8,5,10.73726109,11.27483923,165.9234308,89.26273891,0.995770077,0.032006087,29.87916381,0.079027325,36.28083221,18.20474502,37.86754588
323,G,0.3,4,4,3,30,8,5,16.05779419,11.40034263,112.368368,83.94220581,1.659745963,0.031976137,49.75277245,0.099424705,62.13857509,30.58321748,60.82272046
324,G,0.4,4,4,3,30,8,5,21.44825225,11.50386984,84.82129026,78.55174775,2.408480945,0.031838919,71.86646815,0.109619163,92.06792284,43.93674108,84.37638269
325,G,0.2,3,3,4,30,8,5,11.71096693,12.48439011,167.2164557,88.28903307,1.818476595,0.028639214,48.44278705,0.071367517,61.09081894,26.74413977,52.93342909
326,G,0.3,3,3,4,30,8,5,17.58629503,12.41468548,112.219345,82.41370497,2.976245322,0.028042064,77.50757247,0.145292088,102.1364168,45.59505355,91.25532509
327,G,0.4,3,3,4,30,8,5,23.47503035,12.6553594,84.57804515,76.52496965,4.223169088,0.027703917,108.5519864,0.130003005,148.0532853,61.76251272,114.9368634
328,G,0.2,4,3,4,30,8,5,10.55212715,11.17533738,168.3430433,89.44787285,1.479900557,0.028278722,38.88989578,0.065001443,47.62703343,21.29421091,42.17024407
329,G,0.3,4,3,4,30,8,5,15.87469774,11.22841649,113.1229376,84.12530226,2.419190052,0.028071315,63.07146509,0.084106416,81.25642348,35.61898866,68.91491173
