num,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
887,0.3,4,4,4,0,8,10,17.40544588,49.53840694,111.2003253,82.59455412,3.274512452,0.026886332,81.49060272,0.12973094,108.6155308,50.2152863,101.6387884
888,0.4,4,4,4,0,8,10,23.18381415,49.61998362,83.81616205,76.81618585,4.557681982,0.026836208,113.1955364,0.146261781,151.5003789,69.00860868,137.4774929
889,0.2,3,3,3,30,8,10,15.48006911,65.24913201,168.1699897,84.51993089,2.198236187,0.036962108,76.85497201,0.177465469,102.5541245,45.27320187,90.09823084
890,0.3,3,3,3,30,8,10,23.20781969,65.32003741,111.4670433,76.79218031,3.586063172,0.036462184,123.5835682,0.192822903,170.9304275,72.91838176,144.3219387
891,0.4,3,3,3,30,8,10,30.98936924,65.15610962,82.87293941,69.01063076,5.066077529,0.036401429,174.2803054,0.192831695,245.2346313,101.1773967,197.9722515
892,0.2,4,3,3,30,8,10,14.08597687,60.39138919,169.5087714,85.91402313,1.813431549,0.03741019,64.21395489,0.176307589,84.33049699,37.85947096,76.21702981
893,0.3,4,3,3,30,8,10,21.10596735,60.17226489,112.7625832,78.89403265,2.945816051,0.036616414,101.9735883,0.198012173,141.1269478,60.74323766,122.6482257
894,0.4,4,3,3,30,8,10,28.13982612,60.15337297,84.24082875,71.86017388,4.151473769,0.036524245,143.3264955,0.199265927,202.4021877,84.14653761,166.2364687
895,0.2,3,4,3,30,8,10,14.05445742,60.32562992,170.6111427,85.94554258,2.053144947,0.030656914,58.8367988,0.165777415,83.68488376,37.20565953,75.29948472
896,0.3,3,4,3,30,8,10,21.12107479,60.4717411,113.4186571,78.87892521,3.22669514,0.031940558,96.60905324,0.168397546,138.4695658,60.54289782,122.3522187
897,0.4,3,4,3,30,8,10,28.12994039,60.71839511,84.73808909,71.87005961,4.719852927,0.031197269,137.8068154,0.158169463,197.8520874,86.61291098,174.3314446
898,0.2,4,4,3,30,8,10,12.77458163,55.209409,172.0233157,87.22541837,1.555401149,0.033926173,49.65800602,0.137764692,65.96076955,30.73333905,62.66647802
899,0.3,4,4,3,30,8,10,19.1390874,55.30797173,114.3283164,80.8609126,2.539878843,0.03321722,79.28795683,0.164546654,109.2683483,49.61465982,99.20589384
900,0.4,4,4,3,30,8,10,25.56734346,54.91535142,86.00460049,74.43265654,3.596378023,0.03309475,111.8284755,0.17985487,157.3885677,69.71537285,138.3239374
901,0.2,3,3,4,30,8,10,14.0730636,60.20232112,170.8271883,85.9269364,1.806205447,0.045872151,79.24211886,0.120382696,91.42485276,39.52846303,75.70113098
902,0.3,3,3,4,30,8,10,21.05658791,60.28256269,113.433786,78.94341209,2.954058744,0.045472506,128.4203353,0.170313537,152.7206125,64.29967261,121.5918945
903,0.4,3,3,4,30,8,10,28.10912606,60.49384904,85.02111622,71.89087394,4.191178169,0.045339124,181.6419919,0.171590835,222.0517342,64.58704062,172.1283609
904,0.2,4,3,4,30,8,10,12.78044294,55.31416154,171.7725464,87.21955706,1.896225651,0.030560028,54.15625684,0.190511897,78.61869259,32.58207912,61.63903814
905,0.3,4,3,4,30,8,10,19.14202374,54.82077395,113.6182985,80.85797626,3.12113972,0.031473477,91.99083895,0.168646961,128.5556006,52.5577553,99.79394218
906,0.4,4,3,4,30,8,10,25.57586778,55.19271535,85.24901404,74.42413222,4.042777981,0.035976213,137.3582841,0.168662727,186.431565,72.73142428,136.2503563
907,0.2,3,4,4,30,8,10,12.73010814,54.79432683,172.4169767,87.26989186,1.839863126,0.036145379,62.82282438,0.125262216,78.12837155,33.51296387,62.32657745
908,0.3,3,4,4,30,8,10,19.12616204,54.68509781,114.0327513,80.87383796,3.036953151,0.03600999,103.2867475,0.145646483,130.9605723,55.0599641,103.7664133
909,0.4,3,4,4,30,8,10,25.4996366,54.66299703,85.28640059,74.5003634,4.32804601,0.036026395,147.2678046,0.149535477,189.809186,77.80662408,143.9940894
910,0.2,4,4,4,30,8,10,11.56854165,49.02672993,168.9899316,88.43145835,1.584872899,0.033211411,49.46611895,0.132822871,64.37205403,28.25488583,55.83163042
911,0.3,4,4,4,30,8,10,17.33937673,49.17877915,113.5154488,82.66062327,2.559665566,0.033337851,80.21441801,0.160918236,106.9831402,46.71404267,92.85190265
912,0.4,4,4,4,30,8,10,23.18633611,49.20749251,84.99693019,76.81366389,3.619807064,0.033431145,113.7746805,0.177514106,154.6425757,64.89808045,127.7693559
913,0.2,3,3,3,60,8,10,15.46378668,65.06591805,168.1765856,84.53621332,2.180345059,0.037655096,77.74041152,0.180057973,102.701468,45.35599011,90.69638368
914,0.3,3,3,3,60,8,10,23.22109924,65.13778222,111.3392834,76.77890076,3.548033713,0.037288974,125.2064699,0.199207574,170.337742,73.03538839,145.5513741
915,0.4,3,3,3,60,8,10,30.9543339,65.04176677,82.9837202,69.0456661,5.024209734,0.036992093,175.8076119,0.189001799,244.8017609,101.0824671,197.643347
916,0.2,4,3,3,60,8,10,14.08610205,60.48999673,170.4476835,85.91389795,1.788293488,0.038546476,65.35582576,0.182652235,84.67505744,38.08381026,77.39428649
917,0.3,4,3,3,60,8,10,21.08059453,60.52918641,113.7434142,78.91940547,2.90741551,0.037779788,104.0267116,0.199253827,141.4691534,60.91721545,123.7888814
918,0.4,4,3,3,60,8,10,28.14977045,60.07147752,85.0183009,71.85022955,4.107301868,0.037341992,145.1602289,0.199249923,202.6167165,84.28943335,168.7411857
919,0.2,3,4,3,60,8,10,14.00421497,60.28872186,172.359723,85.99578503,1.759717234,0.047737698,80.48541477,0.107580274,91.89354173,39.32429488,74.90974454
920,0.3,3,4,3,60,8,10,21.0555702,60.71976517,113.9300005,78.9444298,2.958989617,0.045425809,128.4965194,0.143461064,155.0911698,62.66877812,119.1952738
921,0.4,3,4,3,60,8,10,28.11273072,60.07557169,85.22559129,71.88726928,4.206894407,0.045733973,183.9842071,0.187063456,224.8770208,88.98370061,165.8936605
922,0.2,4,4,3,60,8,10,12.73406614,55.10168347,171.189515,87.26593386,1.817444745,0.036033101,61.85328048,0.139202952,76.81408367,33.05930027,62.18030626
923,0.3,4,4,3,60,8,10,19.13864649,55.00704935,114.5627901,80.86135351,2.962464043,0.035400369,98.94739183,0.169810385,127.5227112,53.92202356,102.6739611
924,0.4,4,4,3,60,8,10,25.5387153,55.23417281,85.23700475,74.4612847,4.193424395,0.035187154,139.1678231,0.183908135,185.0583138,75.86032049,142.3031039
925,0.2,3,3,4,60,8,10,14.091377,60.75840132,171.0981024,85.908623,1.991284312,0.031717302,59.17559689,0.155625746,83.56869699,37.5379935,76.23693585
926,0.3,3,3,4,60,8,10,21.07546682,60.50902686,113.4510502,78.92453318,3.251784365,0.031910919,97.26385752,0.168379545,137.8194834,61.91126453,124.8170719
927,0.4,3,3,4,60,8,10,28.15336266,60.30295084,85.00362697,71.84663734,4.613717709,0.031940014,138.1347747,0.183682784,199.1877673,87.03952748,175.6921765
928,0.2,4,3,4,60,8,10,12.74987537,54.81652508,172.7756746,87.25012463,1.541903415,0.034206842,49.65983924,0.130115896,65.73163995,30.76256185,62.59415262
