num,Code,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
1105,D,0.2,3,3,3,30,20,10,15.4381538,159.6783865,166.9173841,84.5618462,2.686265883,0.033662833,85.05478851,0.185528839,118.1986111,44.08138018,86.67639644
1106,D,0.3,3,3,3,30,20,10,23.17980051,159.7812212,110.1068185,76.82019949,4.980516748,0.024477731,111.9507134,0.151422715,187.0052857,69.4577253,138.8921122
1107,D,0.4,3,3,3,30,20,10,30.93439747,157.5741362,81.6943591,69.06560253,6.426135115,0.024409761,144.0081519,0.127428794,248.1541344,94.0235754,192.2803093
1108,D,0.2,4,3,3,30,20,10,14.0070822,149.1661185,170.3378733,85.9929178,2.288836604,0.030845229,66.02201633,0.158973205,92.10620139,37.26567867,74.354807
1109,D,0.3,4,3,3,30,20,10,21.11172141,149.6893419,111.793603,78.88827859,4.074358288,0.026004212,97.80176021,0.123647928,146.2722013,59.02467357,118.263483
1110,D,0.4,4,3,3,30,20,10,28.10599767,147.8151303,83.34706369,71.89400233,5.670825226,0.025889833,135.4750655,0.132475877,208.1811408,83.60514897,169.6018099
1111,D,0.2,3,4,3,30,20,10,14.03668749,148.874379,170.3760845,85.96331251,2.312180992,0.034485476,75.11229912,0.179008126,91.73323568,34.6954718,65.82794641
1112,D,0.3,3,4,3,30,20,10,21.0846096,149.0994511,112.1534241,78.9153904,4.377021593,0.024325316,97.71839078,0.172590351,173.5193353,59.36918447,113.4332497
1113,D,0.4,3,4,3,30,20,10,28.09317975,149.7102802,83.76177613,71.90682025,6.197956572,0.023496398,133.2337443,0.152490973,228.5160255,80.40704194,155.5787368
1114,D,0.2,4,4,3,30,20,10,12.72585683,135.4298583,170.5224297,87.27414317,1.990825483,0.028435386,52.62824009,0.122280836,66.08221399,30.56491892,62.06390011
1115,D,0.3,4,4,3,30,20,10,19.15059124,135.8441919,112.953281,80.84940876,3.263495503,0.027423955,82.97096333,0.144974649,108.4220513,49.53690788,101.2330937
1116,D,0.4,4,4,3,30,20,10,25.61892504,135.2990398,84.06792425,74.38107496,4.659146777,0.026742599,115.2793985,0.158841455,154.9856411,69.30198761,140.0639103
1117,D,0.2,3,3,4,30,20,10,14.021037,149.4119796,170.5871354,85.978963,2.998811683,0.026786315,74.3294918,0.12995944,106.0573457,36.5937596,68.58669929
1118,D,0.3,3,3,4,30,20,10,21.00307331,149.5834434,112.9225126,78.99692669,5.130248208,0.025704831,121.6116651,0.175521231,188.2295624,57.68732334,102.9797651
1119,D,0.4,3,3,4,30,20,10,28.0417158,146.9367623,83.76102634,71.9582842,6.159571708,0.030709664,176.8392324,0.160245728,258.9873703,75.16511614,128.0404357
1120,D,0.2,4,3,4,30,20,10,12.74451724,136.760935,171.9581528,87.25548276,2.470583964,0.025924556,59.10762396,0.157668018,81.73658196,31.70153882,60.63278017
1121,D,0.3,4,3,4,30,20,10,19.1325157,137.2634352,113.3326151,80.8674843,3.611317209,0.033054453,112.1474808,0.116092658,142.125069,52.77858398,101.3515224
1122,D,0.4,4,3,4,30,20,10,25.51824798,136.1654768,84.28587428,74.48175202,5.897302569,0.024754889,134.1924656,0.118555653,195.6740457,44.82079081,151.0311719
1123,D,0.2,3,4,4,30,20,10,12.72122975,135.2934031,171.0072675,87.27877025,2.695210943,0.025017468,62.03693138,0.11720078,77.31300841,33.05968241,63.82427399
1124,D,0.3,3,4,4,30,20,10,19.09907535,135.8282268,113.1414341,80.90092465,4.444538192,0.024300002,99.11321191,0.134843993,128.8364326,49.58592057,98.75326152
1125,D,0.4,3,4,4,30,20,10,25.46806715,134.334676,84.60317617,74.53193285,6.416997266,0.023876939,140.3842562,0.15374763,186.1128715,69.43884054,124.6449136
1126,D,0.2,4,4,4,30,20,10,11.61591748,122.5963856,166.6557664,88.38408252,2.027605417,0.027470594,51.64431438,0.148909187,64.35408332,28.22194323,53.89242493
1127,D,0.3,4,4,4,30,20,10,17.36290373,122.5131914,111.810038,82.63709627,3.325930466,0.026515418,81.53657461,0.165312123,106.1799003,45.09898764,85.76887934
1128,D,0.4,4,4,4,30,20,10,23.20324429,121.8817213,83.45787646,76.79675571,4.746395095,0.025887738,113.3806426,0.188024616,152.6780045,62.31697265,119.0235931
1129,D,0.2,3,3,3,60,20,10,15.43207222,160.8973356,167.031344,84.56792778,3.11488154,0.02483128,71.11673108,0.141341114,120.8103192,42.59746222,82.98797195
1130,D,0.3,3,3,3,60,20,10,23.2095199,160.1812645,110.415388,76.7904801,5.658607777,0.025282771,131.7480717,0.157805729,195.2928249,67.44795371,134.6887432
1131,D,0.4,3,3,3,60,20,10,30.92365872,159.6135355,81.69569128,69.07634128,7.430013309,0.024201536,164.9577057,0.155218363,287.0817919,88.95688982,180.1778458
1132,D,0.2,4,3,3,60,20,10,14.06017519,149.0487847,169.2931693,85.93982481,2.492492716,0.027604852,63.81990647,0.179166675,84.38098781,37.64130954,75.65087535
1133,D,0.3,4,3,3,60,20,10,21.07657814,149.5199624,112.1090783,78.92342186,4.057851892,0.026829655,100.7550616,0.198100209,137.9967162,60.57621004,123.3557137
1134,D,0.4,4,3,3,60,20,10,28.14958711,148.2308397,83.70010845,71.85041289,5.763152067,0.026182642,139.3682419,0.199351501,197.002284,84.30711875,166.3731366
1135,D,0.2,3,4,3,60,20,10,14.00575481,149.2738894,170.4795335,85.99424519,2.903072499,0.025649881,68.65731778,0.140056562,91.78040595,28.62167381,74.86773233
1136,D,0.3,3,4,3,60,20,10,21.05259414,149.212447,112.8530666,78.94740586,4.774199018,0.025313417,111.3028949,0.167813694,153.0223633,63.72043419,120.721834
1137,D,0.4,3,4,3,60,20,10,28.1022865,147.4150227,83.94112979,71.8977135,6.935087939,0.024771526,157.9225365,0.16526897,222.4243342,87.90871518,163.7613543
1138,D,0.2,4,4,3,60,20,10,12.74479711,134.7804838,170.5105646,87.25520289,2.397874339,0.026838419,59.55940803,0.152626598,77.54409594,32.94241946,63.18614892
1139,D,0.3,4,4,3,60,20,10,19.1322677,137.3067238,113.0058831,80.8677323,4.015123363,0.025614132,94.81365149,0.187949157,128.4425195,52.96058742,101.7956912
1140,D,0.4,4,4,3,60,20,10,25.58572571,135.0953116,84.04408988,74.41427429,5.745241979,0.025239863,133.5186372,0.181640434,185.9644258,70.30563244,138.9400483
1141,D,0.2,3,3,4,60,20,10,14.00231864,149.1596184,169.8864453,85.99768136,2.597894438,0.028067031,67.7193945,0.181495667,84.77832616,36.25077119,70.94979167
1142,D,0.3,3,3,4,60,20,10,21.01553873,148.3308873,112.0915847,78.98446127,4.194959545,0.026571275,103.0755048,0.16510644,142.3821801,32.60253298,116.6792007
1143,D,0.4,3,3,4,60,20,10,28.09034329,147.4078784,83.02029725,71.90965671,5.817267763,0.025033294,133.9908406,0.134848332,194.8853758,76.37762765,159.8314733
1144,D,0.2,4,3,4,60,20,10,12.77830967,137.2087698,170.3621285,87.22169033,1.992426299,0.028433885,52.66756822,0.131105888,65.88308836,30.46753563,61.90893032
1145,D,0.3,4,3,4,60,20,10,19.17070331,136.9025757,112.479935,80.82929669,3.267794073,0.027461398,83.20260461,0.148768663,108.3433293,49.42862454,100.7654219
1146,D,0.4,4,3,4,60,20,10,25.54917476,136.1240102,83.86527606,74.45082524,4.678368512,0.026754625,115.8112601,0.153803444,154.8119271,69.34597898,140.3288577
1147,D,0.2,3,4,4,60,20,10,12.71756645,136.3371552,171.9550761,87.28243355,2.625416338,0.024750012,59.72825392,0.086944985,80.40448441,32.9122045,63.52330331
1148,D,0.3,3,4,4,60,20,10,19.1035334,136.8815604,113.4656268,80.8964666,4.379656073,0.024386602,98.04561949,0.11211344,132.5525435,48.81332608,96.07778056
1149,D,0.4,3,4,4,60,20,10,25.47081896,136.2848285,84.52474724,74.52918104,6.469472059,0.023685785,140.2955785,0.134860897,190.0704884,68.57976532,122.3153885
1150,D,0.2,4,4,4,60,20,10,11.55862366,121.9875362,168.5846844,88.44137634,2.026314881,0.02738092,51.42973538,0.142608762,64.53813053,28.20191216,53.77995127
1151,D,0.3,4,4,4,60,20,10,17.38844086,121.8106429,111.6943973,82.61155914,3.328202204,0.026575052,81.79074323,0.177931464,105.9094198,45.00194911,85.96391586
1152,D,0.4,4,4,4,60,20,10,23.19493378,122.3970331,83.51632556,76.80506622,4.71935862,0.025955859,113.0562915,0.194330812,152.3021263,62.95634763,119.8926854
1,G,0.2,3,3,3,0,8,2.5,12.88201546,3.431527612,167.4756168,87.11798454,1.377231442,0.032289326,41.71541149,0.101792127,52.32626056,25.04909125,50.85215536
2,G,0.3,3,3,3,0,8,2.5,19.36676607,3.466206368,113.5448064,80.63323393,2.333244739,0.030742486,67.06325318,0.192133099,88.97793321,41.57752909,84.45514425
3,G,0.4,3,3,3,0,8,2.5,25.89409839,3.582782123,86.57029645,74.10590161,3.425187492,0.029543392,94.34128238,0.194671333,130.2387252,59.63100242,117.8464306
4,G,0.2,4,3,3,0,8,2.5,11.54161769,3.149204251,170.1175975,88.45838231,1.099116742,0.029406139,30.12254612,0.1295816,40.94068928,19.08278197,38.23320472
